text,TARGET,dialogue_id,turn_id,type,source
We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street!,MIGRANTS,0,0,HS,dialo_gold
Surely people who also risked their lives to help our forces also need us to honour our promises?,MIGRANTS,0,1,CN,dialo_gold
Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough,MIGRANTS,0,2,HS,dialo_gold
"We also have at least 1 million empty homes. There are many reasons for the housing shortage, but newly arrived Afghans is not one of them.",MIGRANTS,0,3,CN,dialo_gold
Our soldiers are left to rot on our streets while we house terrorists and child groomers,MIGRANTS,0,4,HS,dialo_gold
Neither of those statements is true. I saw scared kids and families coming off those planes from Kabul but you just want to bang on about ‘time bombs’. I think you have a different agenda.,MIGRANTS,0,5,CN,dialo_gold
"I’m a patriot, I care about the future of our once great country.",MIGRANTS,0,6,HS,dialo_gold
"Can I suggest that greatness can be found in caring, compassion and concern for others and that these are the values we need to make us ‘great’ again.",MIGRANTS,0,7,CN,dialo_gold
Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again!,POC,1,0,HS,dialo_gold
What’s racist about it?,POC,1,1,CN,dialo_gold
It segregates people based on their colour.,POC,1,2,HS,dialo_gold
Isn’t it more about making visible what’s been largely invisible?,POC,1,3,CN,dialo_gold
It should be called what it really is…Bad mouth whites’ month,POC,1,4,HS,dialo_gold
I think the title is perfect…signifying a celebration of individual and collective achievements.,POC,1,5,CN,dialo_gold
It’s fake and harmful racial hatred driven by people who profit from it.,POC,1,6,HS,dialo_gold
"I don’t see expressions of hatred, but I’d agree there is a profit for us all in understanding a largely hidden part of our shared histories.",POC,1,7,CN,dialo_gold
There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness!,LGBT+,2,0,HS,dialo_gold
"Its only a rumour, and he has grown into a curmudgeon in his old age. 😊",LGBT+,2,1,CN,dialo_gold
Its dangerous censorship and an assault on free speech.,LGBT+,2,2,HS,dialo_gold
"If the cancellation is true, then surely it’s a theatre sticking by its principles and reminding us that rights also bring responsibilities.",LGBT+,2,3,CN,dialo_gold
What about freedom of expression in the arts?,LGBT+,2,4,HS,dialo_gold
But the rumoured cancellation is not related to the play he was planning.,LGBT+,2,5,CN,dialo_gold
We need to protect our right to cause offence.,LGBT+,2,6,HS,dialo_gold
"But, he hasn’t lost that right, just had a reminder that what we say affects how people view and treat us.",LGBT+,2,7,CN,dialo_gold
More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back.,MIGRANTS,3,0,HS,dialo_gold
Are you forgetting that last year every rough sleeper was offered a bed during lockdown?,MIGRANTS,3,1,CN,dialo_gold
During lockdown.,MIGRANTS,3,2,HS,dialo_gold
If there’s a will there’s a way.,MIGRANTS,3,3,CN,dialo_gold
We don’t have enough accommodation.,MIGRANTS,3,4,HS,dialo_gold
"Maybe, but to present migration as the sole cause of both homelessness and the shortage of affordable homes is nonsense.",MIGRANTS,3,5,CN,dialo_gold
"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride.",LGBT+,4,0,HS,dialo_gold
Nice to see somewhere celebrating diversity and inclusivity.,LGBT+,4,1,CN,dialo_gold
Its political correctness gone mad!,LGBT+,4,2,HS,dialo_gold
"Hardly, just a few layers of paint to mark Pride?",LGBT+,4,3,CN,dialo_gold
They need to get their priorities right. Virtue signalling do-gooders wasting taxpayers’ money,LGBT+,4,4,HS,dialo_gold
"I just read that Surrey had a £7.8 surplus at the end of the financial year, so surely enough spare to brighten things up for a celebration?",LGBT+,4,5,CN,dialo_gold
I’m sick of this bullshit being forced on us all.,LGBT+,4,6,HS,dialo_gold
"Take heart, Pride, like Xmas, is but once a year.🙂",LGBT+,4,7,CN,dialo_gold
I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up!,MIGRANTS,5,0,HS,dialo_gold
"Yeah, I saw a blog post that mentioned this but just quoted a ‘source in the Home office’, which is a bit dodgy.",MIGRANTS,5,1,CN,dialo_gold
